0 False
TRAINING
step 0, training accuracy 0.252
step 10, training accuracy 0.87
step 20, training accuracy 0.942
step 30, training accuracy 0.946
step 40, training accuracy 0.95
step 50, training accuracy 0.96
step 60, training accuracy 0.968
step 70, training accuracy 0.97
step 80, training accuracy 0.984
step 90, training accuracy 0.966
step 100, training accuracy 0.988
step 110, training accuracy 0.976
step 120, training accuracy 0.978
step 130, training accuracy 0.982
step 140, training accuracy 0.978
step 150, training accuracy 0.984
step 160, training accuracy 0.99
step 170, training accuracy 0.98
step 180, training accuracy 0.996
step 190, training accuracy 0.992
step 200, training accuracy 0.994
step 210, training accuracy 0.986
step 220, training accuracy 0.996
step 230, training accuracy 0.99
step 240, training accuracy 0.988
step 250, training accuracy 0.994
step 260, training accuracy 0.994
step 270, training accuracy 0.99
step 280, training accuracy 0.994
step 290, training accuracy 0.998
step 300, training accuracy 0.998
step 310, training accuracy 0.994
step 320, training accuracy 0.992
step 330, training accuracy 0.992
step 340, training accuracy 0.994
step 350, training accuracy 0.99
step 360, training accuracy 0.994
step 370, training accuracy 0.994
step 380, training accuracy 0.998
step 390, training accuracy 0.996
step 400, training accuracy 0.99
step 410, training accuracy 1
step 420, training accuracy 0.998
step 430, training accuracy 0.992
step 440, training accuracy 0.996
step 450, training accuracy 0.994
step 460, training accuracy 0.994
step 470, training accuracy 0.998
step 480, training accuracy 0.992
step 490, training accuracy 0.998
step 500, training accuracy 0.996
step 510, training accuracy 0.996
step 520, training accuracy 0.998
step 530, training accuracy 0.996
step 540, training accuracy 1
step 550, training accuracy 0.998
step 560, training accuracy 1
step 570, training accuracy 0.998
step 580, training accuracy 1
step 590, training accuracy 1
step 600, training accuracy 0.996
step 610, training accuracy 1
step 620, training accuracy 1
step 630, training accuracy 1
step 640, training accuracy 0.998
step 650, training accuracy 1
step 660, training accuracy 0.998
step 670, training accuracy 1
step 680, training accuracy 1
step 690, training accuracy 0.998
step 700, training accuracy 1
step 710, training accuracy 0.998
step 720, training accuracy 0.998
step 730, training accuracy 1
step 740, training accuracy 0.996
step 750, training accuracy 1
step 760, training accuracy 1
step 770, training accuracy 0.998
step 780, training accuracy 1
step 790, training accuracy 1
step 800, training accuracy 1
step 810, training accuracy 0.998
step 820, training accuracy 0.998
step 830, training accuracy 0.998
step 840, training accuracy 1
step 850, training accuracy 1
step 860, training accuracy 0.998
step 870, training accuracy 1
step 880, training accuracy 1
step 890, training accuracy 1
step 900, training accuracy 1
step 910, training accuracy 1
step 920, training accuracy 1
step 930, training accuracy 1
step 940, training accuracy 0.998
step 950, training accuracy 0.998
step 960, training accuracy 1
step 970, training accuracy 1
step 980, training accuracy 0.998
step 990, training accuracy 1
Training time:  112.81842136383057
TESTING
test accuracy 0.9795
